@relation tags

@attribute similarity numeric
@attribute tags string

@data


5.576545035061442,"Covenant Full Movie Part"
6.494441329078565,"punjabi desi jatt miss pooja jazzy movie Munde UK De 2009 Hindi Watch Online Director Manmohan Singh Cast Jimmy Shergill Neeru Bajwa Gurpreet Ghuggi Amrinder Gill Deep Dhillon Arun Bali Rana Ranbir Release Date Genre Comedy Romance"
6.494441329078565,"punjabi desi jatt miss pooja jazzy movie Munde UK De 2009 Hindi Watch Online Director Manmohan Singh Cast Jimmy Shergill Neeru Bajwa Gurpreet Ghuggi Amrinder Gill Deep Dhillon Arun Bali Rana Ranbir Release Date Genre Comedy Romance"
0.21365833624727193,"Cell Block Tango Chicago Movie"
5.5,"Ong Bak Movie (5)"
6.494441329078565,"punjabi desi jatt miss pooja jazzy movie Munde UK De 2009 Hindi Watch Online Director Manmohan Singh Cast Jimmy Shergill Neeru Bajwa Gurpreet Ghuggi Amrinder Gill Deep Dhillon Arun Bali Rana Ranbir Release Date Genre Comedy Romance"
5.961043882509412,"twilight movie trailer preview stephenie meyer kristen stewart robert pattinson official cast vampires moon eclipse"
5.822822644017892,"rent movie light candle mimi marquez roger davis rosario dawson adam pascal"
0.0,"movie trailer movie trailers movies new movies red band trailers the harry potter film trailer reviews watch movies online"
5.598673800892022,"zeitgeist movie federal reserve"
5.773146628393371,"Revenge of the Fallen preview trailer video movie official Shia LaBeouf"
6.610484373687118,"funniest movie death scenes scream troll garbage day gun kill big trouble china shark attack funny comedy fight ninja undeafeatable worst grindhouse gore troma toxic avenger"
0.06808939921344573,"Harsh Times movie"
5.722795871714876,"digimon movie part english konata2k7"
6.29994410807392,"halo movie minutes beginning opening credits 2009 arms race master chief spartan 117"
5.598673800892022,"zeitgeist movie federal reserve"
5.6682901480107075,"matrix movie mistakes glitches review mistake keanu reeves jose funny comedy"
5.598673800892022,"zeitgeist movie federal reserve"
5.598673800892022,"zeitgeist movie federal reserve"
5.147247488973222E9,"cinematic orchestra man movie camera dziga vertov classic film black white acid jazz ninja tune"
5.627987769237644,"comedy jackass lol movie hehe haha rofl lmao"
5.708767872071064,"sims movie lindsay lohan found glory jaydee"
6.494441329078565,"punjabi desi jatt miss pooja jazzy movie Munde UK De 2009 Hindi Watch Online Director Manmohan Singh Cast Jimmy Shergill Neeru Bajwa Gurpreet Ghuggi Amrinder Gill Deep Dhillon Arun Bali Rana Ranbir Release Date Genre Comedy Romance"
5.616806947078151,"craft movie magic witches"
5.600569226486352,"tarantino movie interview live"
6.778864473431647,"funniest movie death scenes funny kill worst gore blood commando garbage day shark attack fight troll big trouble china deadly night silent toxic avenger enter ninja hilarious insane intense scary horror vintage grindhouse troma hell 1.5"
5.875397377712139,"Great Movie Ride Disney MGM Studios Florida Walt World Disneyland Oz Indiana Jones RU42 RU42video"
5.553447419121494,"rent movie seasons love"
6.026706531998833,"edward cullen twilight movie romance love kiss exclusive awsome rob pattinson breaking dawn moon eclipse"
5.836413168625087,"machinima animation games DigitalPh33r arby chief movie halo comedy funny series yt:quality=high"
0.20319632857114656,"H2 Movie Trailer Halloween 2 preview 2009 official high quality trailer"
5.729650664365686,"Resident Evil Movie Parody Nutshell ShadowLeggy"
