@relation tags

@attribute similarity numeric
@attribute tags string

@data


5.5432259677188584,"Ancient Rome Tiberius Gracchus Revolution"
5.588769531952748,"Rome Snowboards Correct Teaser trailer SDS"
5.843850335050974,"FSX Microsoft Flight Simulator rome Air airbus A380 Boeing aircraft takeoff landing dreamliner"
5.886827319732197,"roma rome city europa italy italia"
5.854810114182605,"Spqr rome total war medieval Julius Caesar historical battle s.p.q.r. hannibal barka augustus great alexander rtw mod"
5.609507017849195,"HBO Rome Niobe Theme Lucius Vorenus Indira Varma Love Melancholy"
5.719580333327017,"bbc ancient rome rise fall empire caesar documentary"
5.725089209918392,"Jim Rome Jungle It's Chad Portland Jay Stew"
5.808648301914233,"Jim Rome cock fighting jungle rooster comedy funny sports talk show"
5.8470778398141485,"Genesis Rome Roma Turn Tour Follow Pro Shot Telecomcerto Broadcast Italia1 Phil Collins"
6.516744706835842,"Prince_of_Macedon Prince Macedon Rome Total War Online Multiplayer Commentary Roman Legionary Auxilia Town Southwater Battle Ancient Warfare Antiquity RTS [EILA]-Khan-[Pedes] EILA clan Real Time Strategy Tactics Game Gameplay"
5.712772889352327,"Battle Rome Caesar Total War Labienus"
6.799851246679351,"Prince_of_Macedon Prince Macedon Rome Total War Online Battle Multiplayer Commentary Video Greece Greek City States Carthaginians Hamilkarbarca Big Money Denarii Onager Phalanx Hoplite Spartan Sacred Band Ancient Warfare Antiquity Game Gameplay RTS Real Time Strategy Tactics"
5.78702379264473,"djokovic nadal tennis rome masters sports imitation atp nole rafa imitates funny trophy ceremony livetennis"
5.663106511033696,"HBO Rome Caesar Egypt Pompey Ptolemy"
5.5,"Triarii RosesforRome Emperors reliefs Rome RomanEmpire"
6.367699345794922,"Prince_of_Macedon Prince Macedon Rome Total War Online Multiplayer Commentary Battle Video Ancient Warfare Antiquity Pre Marian Polybian Principes Hastati Triarii Velites Equites Roman Scipii Brutii RTS Real Time Strategy Tactics Game Gameplay Forest Prippet Marshes"
5.77882322682821,"rtw Rome Total War music theme Jeff van Dyck soundtrack"
5.646093895130575,"CHICANO RAP CHICANA CONEJO ROME PAWNS CHESS GAME SURENO RABBS NOTORIOS ENEMY"
6.711505152563198,"Prince_of_Macedon Prince Macedon Rome Total War Online Battle Commentary Video Multiplayer Roman Urban Cohort Legionary Praetorian Cavalry King Conan Kings Clan King-Conan 60k RTS Real Time Strategy Tactics Game Gameplay Ancient Warfare Antiquity Big Money Testudo Wedge Formation"
6.796583656821035,"Prince_of_Macedon Prince Macedon Rome Total War Online Battle Commentary Video Multiplayer Germanic Macedonian Sarissa Phalanx Peltast Cretan Archer Warband Berserker Berserk Lancer Ancient Warfare Antiquity Game Gameplay RTS Real Time Strategy Tactics Cilician Hills Desert Map"
5.5432259677188584,"Ancient Rome Tiberius Gracchus Revolution"
6.550666689755177,"Prince_of_Macedon Prince Macedon Rome Total War Online Battle Multiplayer Commentary Video Roman Julius Caesar Marian Army Marius Ancient Warfare Antiquity Principes Legion Cohort Duplex RTS Real Time Strategy Tactics Game Gameplay"
5.823401184642384,"Primordial Rome Burns Metal Nameless Dead Irish Black Folk Pagan"
5.733370823938399,"Rome Total War Planet Hell Nightwish"
